,0
407,TRIP12
408,UBE3C
409,MGRN1
410,TRIM69
411,LNX1
412,TRAIP
413,UBE2D4
414,RNF130
415,RNF19B
416,ZNF645
417,UBR1
418,RNF126
419,RPS15
420,RNF114
421,UBE4A
422,AREL1
423,TRIM11
424,MYLIP
425,HECW2
426,RLIM
427,CBL
428,UBE2G1
429,LTN1
430,UBOX5
431,RNF25
432,TRAF7
433,ADRB2
434,RNF6
435,HERC4
436,UBR2
437,ARRB1
438,UBE2G2
439,S1PR1
440,HERC1
441,ARIH2
442,UNKL
443,HECTD3
444,MEX3C
445,RBBP4
446,RNF138
447,RNF220
448,DYNC1I1
449,LRSAM1
450,FYN
451,GNAT3
452,TRIM36
453,KRAS
454,RPS8
455,SH3RF1
456,SNRPE
457,FGG
458,FGA
459,SRSF1
460,SOS1
461,RPS25
462,PAFAH1B1
463,C5
464,RPS28
465,SNRPG
466,FAU
467,RPS4X
468,S1PR2
469,VAMP2
470,RPS23
471,DYNC1LI2
472,RPS16
473,RPS19
474,RPS21
475,RPS20
476,PPP2CB
477,RPS3A
478,RPS15A
479,RPS13
480,NFKB1
481,CXCR2
482,AURKB
483,GCG
484,CCR5
485,SNRPB
486,RPS26
487,KIF2C
488,PCF11
489,RPSA
490,XAB2
491,SNRPF
492,RPS24
493,SSTR3
494,CXCL10
495,CCR3
496,SNRPD3
497,ALYREF
498,S1PR3
499,SRSF7
500,RPS5
501,SNW1
502,GRM8
503,PRPF19
504,CCL5
505,TUBB4B
506,SF3B1
507,GABBR2
508,S1PR4
509,GABBR1
510,RXRA
511,BRCA1
512,NPY4R
513,TAS2R50
514,RPL11
515,CPSF4
516,SNRPD2
517,F5
518,RPS17
519,ADORA1
520,AKT1
521,CENPE
522,CXCR3
523,CCR1
524,ADRA2C
525,RPS29
526,SNRPD1
527,P2RY13
528,CNR2
529,NPS
530,OPRM1
531,SSTR5
532,CCL25
533,SRRM1
534,CXCL2
535,GPR39
536,AQR
537,HTR1F
538,SSTR2
539,GPER1
540,B2M
541,NPY
542,NPY1R
543,TAS2R3
544,SSTR4
545,SST
546,PTGDR2
547,SRSF3
548,AVPR2
549,PPIE
550,GPR183
551,CKAP5
552,RPS12
553,ADRA2B
554,TAS2R1
555,HTR1B
556,OXER1
557,MTNR1B
558,HCAR1
559,UBE2I
560,OPRL1
561,U2AF2
562,TAS2R43
563,P2RY14
564,TAS2R7
565,CCL20
566,CXCR1
567,HRH3
568,HEBP1
569,TAS2R38
570,DRD2
571,RXFP4
572,CDC40
573,S1PR5
574,CCL4L1
575,PPY
576,CCR9
577,CXCR5
578,SRSF2
579,SSTR1
580,TAS2R9
581,DVL2
582,CCR10
583,CXCL13
584,ADORA3
585,NPY2R
586,TAS2R31
587,JUN
588,TAS2R8
589,PNOC
590,CXCR6
591,CCR8
592,CXCL6
593,GAL
594,HNRNPC
595,CCL19
596,HCAR2
597,DRD3
598,SRRT
599,RXFP3
600,TAS2R13
601,GPR55
602,GPR37L1
603,GPR31
604,C5AR1
605,CHRM4
606,RPL5
607,HTR1A
608,FPR3
609,PDYN
610,GALR2
611,APLN
612,P2RY11
613,GRM6
614,GPR37
615,HRH4
616,CCL28
617,APLNR
618,CCL27
619,OPRD1
620,RPL23
621,CX3CR1
622,CXCL11
623,ACTR10
624,GALR1
625,CCR4
626,NPY5R
627,WDR33
628,CPSF1
629,GCGR
630,TAS2R20
631,CCR7
632,U2AF1L4
633,P2RY12
634,GRM2
635,CORT
636,INSL5
637,GPR18
638,SRSF6
639,ADRA2A
640,SRSF11
641,TAS2R10
642,RPL9
643,SDC2
644,CCL13
645,PTGER3
646,PPP2R5D
647,SRSF5
648,TAS2R16
649,CCNA2
650,SRSF9
651,FIP1L1
652,TAS1R1
653,OXGR1
654,GRM7
655,SYMPK
656,CX3CL1
657,RPS10
658,CD3G
659,HCAR3
660,CCL21
661,CNR1
662,CCL1
663,CXCL9
664,TAS2R39
665,SERPINA1
666,TAS1R2
667,TAS2R19
668,SUCNR1
669,CXCL16
670,HTR1E
671,TAS2R60
672,CCR2
673,GRM3
674,TAS2R41
675,ACKR3
676,PSMB8
677,TAS2R30
678,P2RY4
679,CXCL3
680,GALR3
681,GRM4
682,CCL16
683,CXCL5
684,TAS2R40
685,MTNR1A
686,DRD4
687,NPB
688,TAS2R46
689,DHX38
690,NPBWR2
691,MAPRE1
692,CPSF2
693,OPRK1
694,TAS2R14
695,PPP2R5C
696,GPR84
697,TAS1R3
698,HTR1D
699,TAS2R5
700,ARRB2
701,NPW
702,NPBWR1
703,PYY
704,HDAC3
705,RPL23A
706,RANBP2
707,TAS2R42
708,HTR5A
709,RELA
710,NUP133
711,CSNK1E
712,TAS2R4
713,CLASP1
714,PPP2R5A
715,KIF18A
716,PPP2R1B
717,RPL15
718,CDK7
719,RPL35
720,NUP37
721,CPSF3
722,TUBB
723,RPS27L
724,NDE1
725,SRSF4
726,DNAJC3
727,NUP107
728,RPL19
729,DHX15
730,DHX9
731,RPL18A
732,RPL18
733,GPSM3
734,NUP160
735,RPL38
736,RPL30
737,NUP43
738,GPSM1
739,NUP85
740,RPL12
741,RPL37A
742,PRKACA
743,COPB1
744,SPTAN1
745,RPL13A
746,RPL32
747,KIF2B
748,RPL8
749,RPL4
750,KIF2A
751,ATM
752,F2
753,RPL10A
754,PTPN11
755,RPL13
756,RAB5A
757,GPSM2
758,PIK3R3
759,BUB1B
760,RPL31
761,RPA1
762,EDN1
763,RPL27
764,PCP2
765,SUMO1
766,AKAP9
767,ORM2
768,RPA2
769,RPL6
770,RPL24
771,RPL27A
772,PLCG1
773,CLP1
774,RPL34
775,RPL36
776,MAD2L1
777,MAPK14
778,RPL21
779,FUCA2
780,GGH
781,RPA3
782,RPL35A
783,RAP1A
784,INS
785,PSMC2
786,PTBP1
787,ITGB1
788,YWHAE
789,ARF1
790,HNRNPK
791,PSMC4
792,RAB44
793,DSN1
794,YBX1
795,KAT2B
796,RPLP2
797,RPLP0
798,RAB37
799,RPL14
800,SLU7
801,RPL39
802,KAT5
803,PSMC1
804,SEC13
805,CSTF2
806,ITGAV
807,EFTUD2
808,HLA-DRB1
809,HNRNPM
810,PSMA3
811,HNRNPH1
812,SNRNP40
813,NEDD8
814,SF3B3
815,RAB8A
816,AP2A1
817,RPL37
818,NCOR1
819,PSMC5
820,RPL22
821,PPP2R5B
822,PPP2R5E
823,RPLP1
824,HNRNPF
825,CDK2
826,RPL28
827,HNRNPA1
828,PSMD14
829,DDX5
830,PSMC3
831,HNRNPR
832,LSM2
833,PSMD2
834,PSME3
835,RPL29
836,PSMA5
837,PSMA1
838,HNRNPA2B1
839,ELAVL1
840,RPL26L1
841,CSTF3
842,PSMA7
843,STAT3
844,SNRNP200
845,AURKA
846,PABPN1
847,RPL7A
848,PSMB6
849,PRPF8
850,TMED10
851,PSMD12
852,RPL7
853,RPL26
854,TMED2
855,AP2S1
856,PRPF6
857,HNRNPL
858,RAB5B
859,COPS5
860,SF3B6
861,RPL22L1
862,CLTA
863,B9D2
864,PSMD6
865,SF3B5
866,PSMD13
867,PSMD4
868,PSMC6
869,RPL10L
870,CFTR
871,PAPOLA
872,RPL10
873,PSMD3
874,RAB11A
875,CSTF1
876,RPL36A
877,TXNL4A
878,SF3B2
879,PSMD7
880,RPL3
881,ALB
882,SNAP25
883,IL6
884,PSMD11
885,PSMB9
886,NUDT21
887,MFI2
888,PSMD10
889,PSMB5
890,LAMB1
891,RBMX
892,APOA1
893,CSTF2T
894,SNRPA1
895,RPL39L
896,PSMA4
897,PSMB3
898,PSMB7
899,PSMB4
900,PRPF31
901,DDX42
902,RPL3L
903,PPIL3
904,SMC3
905,CHRM1
906,PSMB2
907,GNAQ
908,CTNNBL1
909,FUS
910,PSME1
911,PSMD5
912,PRKAR2B
913,HNRNPA0
914,HLA-DRA
915,PTK2
916,CPSF7
917,DDX23
918,RPL17
919,PSME2
920,PSMF1
921,SHFM1
922,SF3B4
923,SNRPN
924,PSMD8
925,PSMA2
926,P4HB
927,CETN2
928,PSMB1
929,CCNB2
930,MSLN
931,OCRL
932,HNRNPUL1
933,RBM22
934,DDX46
935,PHF5A
936,SHC1
937,ITGB2
938,CRNKL1
939,WNT5A
940,HNRNPA3
941,PSMD9
942,SF3A1
943,RBM17
944,CCAR1
945,PTPN6
946,SF3A2
947,PUF60
948,PSMA6
949,PCBP2
950,RPL36AL
951,RBM5
952,TIMP1
953,ELAVL2
954,SNRPB2
955,LCK
956,HNRNPD
957,PSMB10
958,ESR1
959,PLRG1
960,CWC15
961,CWC25
962,WBP11
963,HNRNPH2
964,EIF4E
965,CWC22
966,PPIL4
967,CCT2
968,PCBP1
969,DNAJC8
970,GPKOW
971,BUD31
972,SUGP1
973,TBP
974,TFRC
975,CCT8
976,SRRM2
977,CEP290
978,DNM1
979,GDI2
980,BST1
981,HNRNPU
982,PSMA8
983,U2SURP
984,CD3D
985,BCAS2
986,YWHAG
987,ZW10
988,CCNH
989,SH3GL2
990,PPIL6
991,VAMP7
992,PPIL1
993,SF3A3
994,JAK2
995,LSM6
996,PSMB11
997,LYZ
998,LSM3
999,GAS6
1000,CD2BP2
1001,DHX16
1002,HDAC2
1003,FGF23
1004,SMC1A
1005,CD4
1006,SMNDC1
1007,COPA
1008,GPC3
1009,SNRNP70
1010,LSM7
1011,PQBP1
1012,CENPA
1013,LSM5
1014,APOA2
1015,PRPF3
1016,AP2M1
1017,PSME4
1018,CLTC
1019,AHSG
1020,FZD4
1021,COPS2
1022,KCNAB2
1023,CHERP
1024,GRB2
1025,AJUBA
1026,GNA15
1027,KIF11
1028,COPS3
1029,NCOA3
1030,APITD1
1031,LSM8
1032,SART1
1033,PRCC
1034,GRM1
1035,HIST3H3
1036,BUB3
1037,F2RL2
1038,WASL
1039,GNA11
1040,EIF4G1
1041,SNRPC
1042,STOM
1043,SNAP23
1044,COPS6
1045,GRM5
1046,RAD21
1047,GNA14
1048,CWC27
1049,MNAT1
1050,RBBP5
1051,ERCC2
1052,IGF2R
1053,VCL
1054,HLA-DPA1
1055,WDR5
1056,PRPF38A
1057,VAMP4
1058,EDNRA
1059,AP2B1
1060,BIRC5
1061,GPS1
1062,HLA-DPB1
1063,CST3
1064,PCNA
1065,COPS8
1066,CBFB
1067,LSM4
1068,PRPF40A
1069,CCND1
1070,CTSC
1071,COPS7A
1072,DNM2
1073,COPS4
1074,PLCB1
1075,ITGB3
1076,USP39
1077,WBP4
1078,HLA-DRB5
1079,MED1
1080,CTTN
1081,RHOC
1082,HLA-DQB2
1083,NOP58
1084,LAMTOR1
1085,CD36
1086,HLA-DQA1
1087,STAG2
1088,ARPC3
1089,PRPF4
1090,SNRPA
1091,F2R
1092,MEN1
1093,SNRNP27
1094,PPIH
1095,CEACAM8
1096,ARPC2
1097,PLCB2
1098,GTF2H4
1099,CDH2
1100,PLCB3
1101,COPS7B
1102,STAG1
1103,HLA-DQA2
1104,ACTR3
1105,TBXA2R
1106,ADRA1B
1107,CDCA8
1108,AP2A2
1109,ITGAM
1110,GTF2H2
1111,CLTB
1112,P2RY2
1113,COPB2
1114,LAMTOR2
1115,VAMP3
1116,TRA2B
1117,LAMC1
1118,RFC4
1119,AP1M1
1120,ARPC4
1121,PPP1CC
1122,JAK1
1123,MAPK8
1124,ARG1
1125,RACGAP1
1126,TNF
1127,COPZ1
1128,LAMTOR3
1129,HTR2C
1130,COPG2
1131,ERCC3
1132,COPZ2
1133,NAPA
1134,RHOB
1135,YKT6
1136,ARPC1A
1137,RUVBL1
1138,PICALM
1139,HLA-DQB1
1140,DDOST
1141,SYF2
1142,GTF2H1
1143,DCAF13
1144,VCAN
1145,HIP1R
1146,NEK2
1147,KIF20A
1148,KIF3A
1149,RAB14
1150,NECAP1
1151,TOLLIP
1152,NCOA1
1153,RAC2
1154,LAMB2
1155,GTF2H5
1156,PLCB4
1157,TMED7
1158,KDELR3
1159,SH3KBP1
1160,ACTB
1161,APOE
1162,ARPC5
1163,PTGER1
1164,BOP1
1165,BUB1
1166,NOP56
1167,SPTBN2
1168,EDNRB
1169,PIK3C2A
1170,BMP4
1171,TFIP11
1172,SNX9
1173,GAK
1174,STAM
1175,GTF2H3
1176,CAPZA1
1177,TNFRSF1B
1178,HGS
1179,ATP6V0C
1180,LPAR4
1181,GHSR
1182,PXN
1183,PRKCD
1184,PDCD11
1185,BRS3
1186,PPWD1
1187,SYT1
1188,GCFC2
1189,STX5
1190,TUBA1A
1191,PAK2
1192,TGFB1
1193,TRIO
1194,CAPZA2
1195,KALRN
1196,ADRBK1
1197,F2RL1
1198,JUP
1199,ADRA1A
1200,NPFF
1201,UTS2R
1202,RAC3
1203,F2RL3
1204,GPRC6A
1205,ITGB3BP
1206,LYN
1207,QRFP
1208,KIF3B
1209,CAPZB
1210,CCNA1
1211,TAC1
1212,DNAJC6
1213,ALDOA
1214,TRAPPC1
1215,PES1
1216,KDELR1
1217,RAP1B
1218,P2RY1
1219,SLC27A2
1220,MLNR
1221,RFC5
1222,HRH1
1223,DNAJC5
1224,XCL1
1225,XPO1
1226,CCK
1227,RAD50
1228,ORM1
1229,CYSLTR2
1230,NMB
1231,TUBB4A
1232,GPR68
1233,STAM2
1234,PABPC1
1235,KIF4A
1236,RFC3
1237,GNRHR
1238,OPN4
1239,SEC22B
1240,YWHAB
1241,AVPR1A
1242,CHRM3
1243,GNB2L1
1244,NBN
1245,EDN2
1246,COMMD5
1247,KIF3C
1248,EDN3
1249,XCL2
1250,KDELR2
1251,ADRA1D
1252,GNRH2
1253,UTS2
1254,HLA-A
1255,OXTR
1256,TAC3
1257,CYSLTR1
1258,TUBA4A
1259,NDUFB8
1260,NTS
1261,WDR12
1262,LPAR6
1263,LTB4R2
1264,HCRT
1265,HTR2A
1266,TRIP10
1267,PROKR2
1268,TRH
1269,HCRTR2
1270,ELANE
1271,OXT
1272,THBS1
1273,DCUN1D2
1274,TACR3
1275,BPI
1276,GPR132
1277,FFAR1
1278,DCUN1D1
1279,MRE11A
1280,RFC2
1281,COPG1
1282,ITSN1
1283,KISS1
1284,KISS1R
1285,TRAF2
