"id","tissue","FileID","group","sex"
"3965","midbrain","JB125","7d_DSS_14d_H2O","F"
"3966","midbrain","JB126","7d_DSS_14d_H2O","F"
"3967","midbrain","JB127","7d_DSS_14d_H2O","F"
"3970","midbrain","JB128","7d_DSS_2d_H2O","M"
"FC1","midbrain","JB129","Untreated","F"
"FC2","midbrain","JB130","Untreated","F"
"FC3","midbrain","JB131","Untreated","F"
"FC4","midbrain","JB132","Untreated","F"
"FC5","midbrain","JB133","Untreated","F"
"3394","hippocampus","JB134","Untreated","F"
"3395","hippocampus","JB135","Untreated","F"
"3402","hippocampus","JB136","Untreated","F"
"3430","hippocampus","JB137","Untreated","M"
"3450","hippocampus","JB138","Untreated","M"
"3474","hippocampus","JB139","Untreated","M"
"3507","hippocampus","JB140","Untreated","M"
"3560","hippocampus","JB141","5d_DSS","M"
"3562","hippocampus","JB142","5d_DSS","M"
"3563","hippocampus","JB143","5d_DSS","M"
"3564","hippocampus","JB144","5d_DSS","F"
"3565","hippocampus","JB145","5d_DSS","F"
"3566","hippocampus","JB146","7d_DSS_2d_H2O","F"
"3570","hippocampus","JB147","7d_DSS_2d_H2O","M"
"3571","hippocampus","JB148","7d_DSS_5d_H2O","M"
"3677","hippocampus","JB149","Untreated","M"
"3678","hippocampus","JB150","Untreated","M"
"3680","hippocampus","JB151","Untreated","M"
"3684","hippocampus","JB152","7d_DSS","M"
"3685","hippocampus","JB153","7d_DSS","M"
"3686","hippocampus","JB154","7d_DSS_2d_H2O","M"
"3687","hippocampus","JB155","7d_DSS_2d_H2O","F"
"3688","hippocampus","JB156","7d_DSS_2d_H2O","F"
"3689","hippocampus","JB157","7d_DSS_5d_H2O","M"
"3690","hippocampus","JB158","7d_DSS_5d_H2O","M"
"3691","hippocampus","JB159","7d_DSS","F"
"3692","hippocampus","JB160","7d_DSS","F"
"3693","hippocampus","JB161","7d_DSS_7d_H2O","F"
"3694","hippocampus","JB162","7d_DSS_2d_H2O","F"
"3695","hippocampus","JB163","7d_DSS_5d_H2O","M"
"3696","hippocampus","JB164","7d_DSS_7d_H2O","M"
