"id","group","sex","sac_day_weight","sac_day_DAI","spleen_weight","colon_length","circulating_LBP","circulating_IL10","circulating_IL5","circulating_IL6","circulating_KCGRO","circulating_TNF","circulating_CRP","circulating_LCN2"
"3564","5d_DSS","F","22.6",4,0.078,7.5,1.294545455,8.10948690680972,6.10681649779939,44.1252885567684,206.181676526642,5.19547896602278,3549356.24347239,13267.6557609761
"3565","5d_DSS","F","21.4",6,0.0776,6.7,1.345454545,10.0924123970023,8.02780824705594,51.3740114546387,358.143436825702,5.31506006604407,3255803.93340214,13623.3839087909
"3709","5d_DSS","F","19.3",3,0.0837,6.8,0.952727273,6.52363963095944,4.6029628423839,26.4187351713222,79.303181354132,4.46779326785172,3286666.91998212,15435.096605354
"3714","5d_DSS","F","20.3",6,0.1052,6.5,1.709090909,8.58493911896114,3.8088798996782,19.950755388919,107.493984334791,5.49150014257977,4822497.53183689,17158.1875811988
"3560","5d_DSS","M","30.2",5,0.1252,6.7,0.792727273,12.0522104119734,2.88965613505543,24.680648975151,112.583830034695,6.75540315373411,3486757.42372253,16798.5422126101
"3562","5d_DSS","M","27.6",4,0.0819,7.5,1.112727273,18.4928662974863,2.48458901272866,43.7211287355842,497.408689014807,7.76111049348578,4159184.64670575,42953.9278955912
"3563","5d_DSS","M","30.2",6,0.0965,8,1.709090909,14.3509207646209,6.91562603915607,58.1131158690198,424.813722596948,8.55508100488958,4481712.14772517,30231.3101017471
"3698","5d_DSS","M","27.9",3,0.1245,7.5,0.763636364,6.41878874015956,3.1118204521197,53.4983484972254,120.091753581892,6.07857806386937,3445981.57413098,21363.595486355
"3716","5d_DSS","M","25.7",3,0.0717,7,1.054545455,6.09617906163229,1.90381570963611,19.6590840193213,93.7926807233432,4.669573953634,4676100.75041907,21151.6491607017
"3717","5d_DSS","M","24.9",4,0.0843,7,1.265454545,11.2684464394964,1.99205318707826,22.3837270809904,128.646621758464,4.80952925037929,5874614.92435368,19236.8733236226
"3691","7d_DSS","F","19.899999999999999",6,0.0985,6,1.796363636,11.976335935373,7.43004156769513,98.3242022092369,180.217341641212,7.67843380557527,3512020.0721124,41520.8165655044
"3692","7d_DSS","F","17.399999999999999",4,0.0941,5.7,2.4,11.9179648104555,15.1261731305109,96.2272946951503,299.245608317822,6.48684081829068,3112295.0297703,163044.955042204
"3710","7d_DSS","F","18.600000000000001",5,0.0947,5.6,3.476363636,10.0074521418635,2.0627203178082,72.9199985819487,268.535327499936,7.14095182041558,6272002.38114588,130167.927127778
"3715","7d_DSS","F","18.8",7,0.1369,5.5,3.716363636,10.1513451410624,60.8582320922094,63.3211331448272,321.258063285825,7.60565970806613,4629488.54034023,267241.562052083
"3684","7d_DSS","M","21.7",6,0.2164,6.3,3.76,13.7206908497147,25.9872285003065,269.944405451144,691.261447727095,8.03783032376186,6098476.71046776,398575.897785311
"3685","7d_DSS","M","22.9",6,0.1443,6,8.429090909,26.2334353347805,6.72260775187089,794.433805193427,588.498030006201,12.304097988607,7979314.37496696,2351266.08418927
"3701","7d_DSS","M","25.8",6,0.1507,6.3,5.832727273,14.6514592425847,2.86520081088056,118.155711766703,420.349601854485,6.9484950101183,8453674.60053522,331758.589093613
"3702","7d_DSS","M","26.7",5,0.2273,5.3,3.352727273,9.74800851787535,9.9085792575884,64.1376385152614,237.398378871653,6.28071210984125,6979707.3783267,85438.6424218473
"3703","7d_DSS","M","25.1",6,0.1784,4.3,1.84,8.23773281429022,25.5562807497779,86.9706003874262,340.176643391478,6.16105853487355,3576162.31491954,48846.7867983362
"3566","7d_DSS_2d_H2O","F","20.3",5,0.1037,5.7,1.054545455,8.96486908413774,3.89984369977392,76.8936526220944,394.78219329455,5.89572402039433,3336712.09457863,20114.9912078171
"3687","7d_DSS_2d_H2O","F","14.1",8,0.1009,6.1,8.923636364,40.6833641758733,0.443791825010013,438.333619573132,1596.33997533809,11.7689162068403,9307386.87094441,3533539.2521617
"3688","7d_DSS_2d_H2O","F","14.3",7,0.0819,4.6,8.116363636,28.6148994647972,0.355199670762783,881.341589599175,2472.45640529843,13.756757481896,10349314.8888299,4645728.84060587
"3694","7d_DSS_2d_H2O","F","17.5",NA,0.0841,5,8.829090909,12.8707768477239,3.46368772048259,768.203874186397,2484.65276375579,13.6434954739338,10676436.9906391,4186647.86323412
"3570","7d_DSS_2d_H2O","M","22.6",6,0.1301,7,5.636363636,14.2797289391241,6.089557671856,87.7857493507395,709.762612439968,7.56854278992675,7740529.91615343,415208.525876303
"3686","7d_DSS_2d_H2O","M","20.2",7,0.1528,5.5,12.88727273,17.4369982333864,1.83024185126896,111.173717575228,702.6143118806,8.24170209306968,7392158.21991334,574995.692236913
"3699","7d_DSS_2d_H2O","M","22.7",5,0.1369,7.5,9.28,20.1402353798756,11.5066204239966,379.095335150451,1151.04142637833,8.99806951985593,9291927.66330632,1977437.98233673
"3704","7d_DSS_2d_H2O","M","23.9",7,0.168,6.5,8.625454545,10.4764127287589,1.40230892585057,86.2428198608005,774.146943839437,5.99285993594845,14473968.6346336,2467510.34108581
"3705","7d_DSS_2d_H2O","M","22.7",6,0.1667,6.5,8.08,14.1057245852967,3.71665987532134,147.441881752465,1257.94380430588,8.48309665958425,11915167.9914532,931719.536749002
"3970","7d_DSS_2d_H2O","M","17.8",4,0.1102,7.9,10.34181818,24.1827671064832,1.17643455733055,1078.94040398735,1528.63820965777,11.6084440189143,10916854.7627833,3883677.982569
"3567","7d_DSS_5d_H2O","F","20.2",1,0.1818,5.5,1.607272727,11.8496579128934,5.31835407654495,109.117673255021,183.21631455341,6.50423929665449,3917842.08552985,98173.8679550212
"3706","7d_DSS_5d_H2O","F","19",0,0.1016,7.5,1.156363636,6.44806053873182,20.129929986152,33.2072128672124,135.848889132866,4.38625490046479,4138684.61354249,34013.7763185505
"3708","7d_DSS_5d_H2O","F","17.600000000000001",2,0.097,5.5,1.825454545,5.58775174388506,3.86578909735621,54.6109800709635,206.256786593506,5.18866814020427,4006917.63419562,88170.542702253
"3571","7d_DSS_5d_H2O","M","27",2,0.1825,6.7,2.763636364,17.002229682712,3.77048596900988,139.824924776088,504.167426406031,7.38341092979122,7104350.87303684,411355.786168805
"3689","7d_DSS_5d_H2O","M","26.9",0,0.2129,7.2,1.301818182,12.2193895432809,2.20706211903642,134.700958383407,429.514667349048,7.36412313996282,5628817.90811579,171948.338681647
"3690","7d_DSS_5d_H2O","M","26.8",1,0.1855,6.8,1.490909091,12.8215247749385,2.82631965963902,131.673226858372,335.031599486866,7.54898223170543,4895724.22300566,141202.10996794
"3695","7d_DSS_5d_H2O","M","26",3,0.102,8,2.232727273,3.72216444118803,1.84472848747063,51.3091991546494,134.223550292726,6.21176152188758,5614616.8681759,281373.36251954
"3695","7d_DSS_5d_H2O","M","26",3,0.102,8,2.232727273,3.72216444118803,1.84472848747063,51.3091991546494,134.223550292726,6.21176152188758,5614616.8681759,67333.8225114206
