"id","tissue","FileID","sex","group"
"3710","distal_colon","JB375","F","7d_DSS"
"3711","distal_colon","JB376","M","7d_DSS_5d_H2O"
"3712","distal_colon","JB377","M","7d_DSS_7d_H2O"
"3713","distal_colon","JB378","M","7d_DSS_7d_H2O"
"3714","distal_colon","JB379","F","5d_DSS"
"3715","distal_colon","JB380","F","7d_DSS"
"3716","distal_colon","JB381","M","5d_DSS"
"3717","distal_colon","JB382","M","5d_DSS"
"3963","distal_colon","JB383","M","7d_DSS_14d_H2O"
"3964","distal_colon","JB384","M","7d_DSS_14d_H2O"
"3965","distal_colon","JB385","F","7d_DSS_14d_H2O"
"3966","distal_colon","JB386","F","7d_DSS_14d_H2O"
"3967","distal_colon","JB387","F","7d_DSS_14d_H2O"
"3968","distal_colon","JB388","F","7d_DSS_14d_H2O"
"3970","distal_colon","JB389","M","7d_DSS_2d_H2O"
"3971","distal_colon","JB390","M","7d_DSS_14d_H2O"
"FC1","distal_colon","JB391","F","Untreated"
"FC2","distal_colon","JB392","F","Untreated"
"FC3","distal_colon","JB393","F","Untreated"
"FC4","distal_colon","JB394","F","Untreated"
"FC5","distal_colon","JB395","F","Untreated"
